punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
identical,1,pun,-41.9296984128,-41.9296984128,15.517565072,1.8158224,0.999992690297,7.30970258799e-06,9.37564698516e-05,0.643800956161,4.25337677659,prophet;atheism;non;organization,prophet;atheism;non;organization
identical,2,pun,-39.3272844736,-39.3272844736,16.381782822,1.181660829,0.999999802364,1.97636209988e-07,3.24851431126e-06,0.341406736233,4.01660608702,pi;circumference;get;large,pi;circumference;get;large
identical,3,pun,-73.7847799981,-73.7847799981,18.29803952,0.055563493,0.9999840222,1.59777997983e-05,0.000192441451226,1.10463049361,4.97056286706,knead;bakers;basis;bread;know;recipes;trade,knead;bakers;basis;bread;know;recipes;trade
identical,4,pun,-66.224610966,-66.224610966,15.101453782,3.232276015,0.980423248508,0.0195767514919,0.0963873043475,1.90616089298,5.44245557316,oar;choose;either;indecisive;not;rower,oar;choose;either;indecisive;not;rower
identical,5,pun,-51.6578549275,-51.6578549275,16.905232365,1.4039662,0.999998071837,1.92816328972e-06,2.73007516216e-05,0.808164240561,4.46374126112,tiers;cake;emotional;even;wedding,tiers;cake;emotional;even;wedding
identical,6,pun,-53.7050358581,-53.7050358581,17.874043941,0.015508465,0.999999993,6.99978056853e-09,1.38437369409e-07,0.608426350713,4.31799681587,poll;conduct;country;decided;flag;new,poll;conduct;country;decided;flag;new
identical,7,pun,-40.2575079768,-40.2575079768,15.766698952,4.363772738,0.999537270045,0.000462729955493,0.00401563326424,0.958264975494,4.41648296665,bored;chairman;executive;meetings,bored;chairman;executive;meetings
identical,8,pun,-38.6015207064,-38.6015207064,14.360502071,-0.593560628,0.999999952862,4.71376067123e-08,8.42358209132e-07,0.45198684571,4.10529811606,greece;donuts;know;made,greece;donuts;know;made
identical,9,pun,-68.8644884258,-68.8644884258,15.075129018,0.632681794,0.999910747036,8.92529640806e-05,0.000921446824584,0.555918491389,4.21355953787,sine;above;hoping;prayed;tests;trigonometry,sine;above;hoping;prayed;tests;trigonometry
identical,10,pun,-52.0118739237,-52.0118739237,17.418469023,1.185820168,0.999999947069,5.29305347691e-08,9.39743821869e-07,0.395171742245,4.0756032746,principal;disliked;john;just;not;school,principal;disliked;john;just;not;school
identical,11,pun,-40.0918858613,-40.0918858613,17.498376887,-0.967145481,0.999999999986,1.44394207619e-11,3.74862573573e-10,0.69668517228,4.52780356751,cd;music;part;stores;town,cd;music;part;stores;town
identical,12,pun,-61.7631372937,-61.7631372937,14.482227369,-0.990477457,0.999994216086,5.7839137133e-06,7.55403834019e-05,0.820199766085,4.52878195832,hare;got;mad;magician;out;pulled,hare;got;mad;magician;out;pulled
identical,13,pun,-83.7220923643,-83.7220923643,13.095780725,-1.864429307,0.999989232036,1.0767964348e-05,0.000133941951666,0.609282618643,4.27453242187,knotty;admonished;apparently;father;pine;sapling;young,knotty;admonished;apparently;father;pine;sapling;young
identical,14,pun,-44.8008385175,-44.8008385175,15.816605134,1.974704526,0.999957371322,4.26286775024e-05,0.000471599440842,0.92918687295,4.44228001654,taut;learn;rope;tricks,taut;learn;rope;tricks
identical,15,pun,-63.4906797636,-63.4906797636,15.707015052,-0.725651508,0.99999953319,4.66809693638e-07,7.27165515094e-06,0.666602966431,4.44161861022,marx;class;communism;dropped;lousy;out,marx;class;communism;dropped;lousy;out
identical,16,pun,-59.0444908039,-59.0444908039,14.409861159,-0.237327616,0.999997774458,2.22554228635e-06,3.11921075771e-05,0.441872890113,4.10082212698,hi;boy;instinctively;natural;people;waves,hi;boy;instinctively;natural;people;waves
identical,17,pun,-77.8041865705,-77.8041865705,12.345791123,1.908966062,0.987855597663,0.0121444023365,0.0656379442533,0.933504537612,4.46592433905,daze;end;having;longs;school;teacher;time;tough,daze;end;having;longs;school;teacher;time;tough
identical,18,pun,-44.1216247517,-44.1216247517,15.632094459,0.92885634,0.999998886947,1.11305344118e-06,1.63712384788e-05,0.788709033092,4.33293078953,prose;authors;cons;jail,prose;authors;cons;jail
identical,19,pun,-65.2223555782,-65.2223555782,16.487317621,-1.142290669,0.999999970565,2.94349819154e-08,5.39869416787e-07,0.66657750093,4.51617908292,plane;eat;expect;fancy;flying;food;not,plane;eat;expect;fancy;flying;food;not
identical,20,pun,-81.6157752168,-81.6157752168,13.314419694,-3.854750176,0.99999995819,4.18103600365e-08,7.52173463709e-07,0.484110395191,4.2155289664,dam;beaver;best;ever;movie;movie;night;saw;seen,dam;beaver;best;ever;movie;movie;night;saw;seen
identical,21,pun,-30.6579613632,-30.6579613632,16.815201833,-0.971846936,0.999999968204,3.17959173643e-08,5.80718343007e-07,0.50363647945,4.24396440972,hertz;computer;slow,hertz;computer;slow
identical,22,pun,-35.6585335935,-35.6585335935,18.851312495,-0.226089049,0.999999997849,2.15104055006e-09,4.50800325406e-08,0.560576629245,4.34777516123,role;actors;great;movie,role;actors;great;movie
identical,23,pun,-63.7053625107,-63.7053625107,19.121649858,0.343601449,0.999999995518,4.48249378609e-09,9.0649858685e-08,0.989923035418,4.93433999166,collar;id;man;name;neck;put;shirt,collar;id;man;name;neck;put;shirt
identical,24,pun,-35.5320488241,-35.5320488241,17.629459359,-0.444668888,0.999999888225,1.11774894034e-07,1.90093089909e-06,0.578550873375,4.43347926525,steal;muscles;thieves,steal;muscles;thieves
identical,25,pun,-73.6800975577,-73.6800975577,17.133044094,-2.404699588,0.9999999665,3.35000116775e-08,6.10092833741e-07,0.787106081681,4.64328318064,dye;actress;gray;hair;saw;strands;thought,dye;actress;gray;hair;saw;strands;thought
identical,26,pun,-42.8795625455,-42.8795625455,16.242363331,1.088060187,0.999997850465,2.14953507555e-06,3.02015221945e-05,0.941259633691,4.64565832191,waist;belt;cardboard;paper,waist;belt;cardboard;paper
identical,27,pun,-73.522533952,-73.522533952,17.204860942,-2.605151636,0.999999999766,2.34024917021e-10,5.42366634471e-09,0.914852734107,4.79167273125,feet;able;being;fit;fourteen;quite;shoes;size,feet;able;being;fit;fourteen;quite;shoes;size
identical,28,pun,-46.3878285065,-46.3878285065,15.828943333,-0.735337475,0.999999238508,7.61491837961e-07,1.14893781921e-05,0.546247449445,4.24906996317,aloud;mime;not;say;wanted,aloud;mime;not;say;wanted
identical,29,pun,-62.6439824468,-62.6439824468,16.131394265,-2.084145125,0.999999872875,1.2712531484e-07,2.14563281563e-06,0.537293092996,4.27518055466,pail;buckets;carry;feeling;start;those,pail;buckets;carry;feeling;start;those
