punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
identical,1,pun,-41.9296984128,-41.9296984128,15.517565072,3.8158224,0.99994599072,5.40092801423e-05,0.000584722163856,0.553730895558,1.94357823523,prophet;atheism;organization,prophet;non;organization
identical,2,pun,-39.3272844736,-39.3272844736,16.381782822,3.181660829,0.999998539657,1.46034319879e-06,2.10827386994e-05,0.159565302359,1.5747770701,pi;circumference,pi;circumference;large
identical,3,pun,-73.7847799981,-73.7847799981,18.29803952,2.055563493,0.999881951192,0.000118048808264,0.00118572394428,1.30755477162,2.88537201234,knead;bakers;bread;recipes,knead;basis;trade
identical,4,pun,-66.224610966,-66.224610966,15.101453782,5.232276015,0.871427715881,0.128572284119,0.383663637683,2.23548504125,3.6254136089,oar;rower,oar;choose;either;indecisive;not
identical,5,pun,-51.6578549275,-51.6578549275,16.905232365,3.4039662,0.999985752869,1.42471312032e-05,0.000173230125554,0.850964421458,2.20457618849,tiers;cake;wedding,tiers;emotional;wedding
identical,6,pun,-53.7050358581,-53.7050358581,17.874043941,2.015508465,0.999999948278,5.1721768988e-08,9.19477906438e-07,0.582802175615,1.99350903189,poll;conduct;decided;flag,poll;flag
identical,7,pun,-40.2575079768,-40.2575079768,15.766698952,6.363772738,0.996590940968,0.00340905903161,0.0227711933201,1.06422881615,2.30613935515,bored;meetings,bored;chairman;executive;meetings
identical,8,pun,-38.6015207064,-38.6015207064,14.360502071,1.406439372,0.999999651698,3.4830231547e-07,5.52762560884e-06,0.292388879969,1.70487448912,greece,greece;donuts
identical,9,pun,-68.8644884258,-68.8644884258,15.075129018,2.632681794,0.999340880699,0.000659119300951,0.00548669122485,0.395673462229,1.8235191119,sine;trigonometry,sine;prayed;trigonometry
identical,10,pun,-52.0118739237,-52.0118739237,17.418469023,3.185820168,0.999999608893,3.91106558492e-07,6.16160441876e-06,0.262546317044,1.68613530206,principal;just;school,principal;disliked;just;school
identical,11,pun,-40.0918858613,-40.0918858613,17.498376887,1.032854519,0.999999999893,1.06693690036e-10,2.55649388709e-09,0.747613094701,2.27215871367,cd;music;stores,cd
identical,12,pun,-61.7631372937,-61.7631372937,14.482227369,1.009522543,0.999957263916,4.27360836404e-05,0.000472680127241,0.79203252087,2.24365303631,hare;magician,hare;pulled
identical,13,pun,-83.7220923643,-83.7220923643,13.095780725,0.135570693,0.999920440381,7.95596191651e-05,0.00083052000906,0.446089764929,1.86299264881,knotty;sapling,knotty;admonished;young
identical,14,pun,-44.8008385175,-44.8008385175,15.816605134,3.974704526,0.999685100076,0.000314899924286,0.00285396893818,0.939071733998,2.25915465326,taut;rope,taut;learn;tricks
identical,15,pun,-63.4906797636,-63.4906797636,15.707015052,1.274348492,0.999996550727,3.44927272645e-06,4.68319672839e-05,0.627671895891,2.08973220693,marx;class;communism,marx;class
identical,16,pun,-59.0444908039,-59.0444908039,14.409861159,1.762672384,0.999983555577,1.64444229792e-05,0.000197588226507,0.287178976551,1.6974669644,hi;people,hi;waves
identical,17,pun,-77.8041865705,-77.8041865705,12.345791123,3.908966062,0.916725689199,0.083274310801,0.286694430398,0.902163806502,2.24491192187,daze,daze;school;time;tough
identical,18,pun,-44.1216247517,-44.1216247517,15.632094459,2.92885634,0.999991775644,8.22435583165e-06,0.000104518456867,0.756126754207,2.1007719133,prose;authors,prose;authors;cons
identical,19,pun,-65.2223555782,-65.2223555782,16.487317621,0.857709331,0.999999782503,2.17496691741e-07,3.55413129356e-06,0.702618655618,2.23786320231,plane;flying;food,plane;fancy;food
identical,20,pun,-81.6157752168,-81.6157752168,13.314419694,-1.854750176,0.999999691061,3.089390133e-07,4.93997244924e-06,0.403629117943,1.87457582624,dam;beaver,dam;beaver
identical,21,pun,-30.6579613632,-30.6579613632,16.815201833,1.028153064,0.999999765058,2.34941769394e-07,3.82107602767e-06,0.423467329293,1.86181093597,hertz;computer,hertz
identical,22,pun,-35.6585335935,-35.6585335935,18.851312495,1.773910951,0.999999984106,1.58941590771e-08,3.01310566652e-07,0.564822719296,2.06243059146,role;actors;movie,role;movie
identical,23,pun,-63.7053625107,-63.7053625107,19.121649858,2.343601449,0.999999966879,3.31213971e-08,6.03574078101e-07,1.24566535508,2.80871186464,collar;id;man;neck;shirt,collar;id;man;name
identical,24,pun,-35.5320488241,-35.5320488241,17.629459359,1.555331112,0.99999917409,8.25910372654e-07,1.23942545717e-05,0.612386795033,2.1867018074,steal;thieves,steal
identical,25,pun,-73.6800975577,-73.6800975577,17.133044094,-0.404699588,0.999999752467,2.47533412619e-07,4.01294241067e-06,0.855656524566,2.34736269979,dye;gray;hair;strands,dye;gray
identical,26,pun,-42.8795625455,-42.8795625455,16.242363331,3.088060187,0.999984117183,1.58828171332e-05,0.000191392151829,0.967290403028,2.45312552595,waist;belt,waist;cardboard;paper
identical,27,pun,-73.522533952,-73.522533952,17.204860942,-0.605151636,0.999999998271,1.72922323783e-09,3.66173283676e-08,1.02156229329,2.53019517932,feet;fourteen;shoes;size,feet;able
identical,28,pun,-46.3878285065,-46.3878285065,15.828943333,1.264662525,0.999994373321,5.62667853458e-06,7.36419035874e-05,0.451889294369,1.89721772482,aloud;say,aloud;wanted
identical,29,pun,-62.6439824468,-62.6439824468,16.131394265,-0.084145125,0.999999060665,9.39335320007e-07,1.3975518107e-05,0.486407574907,1.9431301274,pail;buckets;carry,pail
identical,30,pun,-54.9167001586,-54.9167001586,18.290132407,2.111068613,0.999999625254,3.74746477912e-07,5.91987607427e-06,0.79797225952,2.30247818452,manor;castle;home,manor;castle;speaking
identical,31,pun,-75.59093547,-75.59093547,15.494279382,3.545767594,0.999999830117,1.69882925784e-07,2.81804451265e-06,1.40637712754,2.84953736188,cache;computer;online,cache;chips;poker;tournament
identical,32,pun,-57.8699020203,-57.8699020203,18.653084438,2.965152763,0.999998842254,1.15774603883e-06,1.69830170884e-05,1.85135013125,3.19069398325,reign;britain;long;queen,reign;britain;wet
identical,33,pun,-61.1834256888,-61.1834256888,17.49984134,1.982077464,0.999835195556,0.00016480444379,0.0016003613324,1.45221344311,3.06186746976,thyme;gardeners;herb,thyme;extra;work
identical,34,pun,-59.0699511075,-59.0699511075,14.943112016,1.606663324,0.999939721734,6.02782661227e-05,0.000645972569871,0.835399101301,2.33934664899,pore;skin,pore;bad;excuse
identical,35,pun,-55.6599017855,-55.6599017855,15.257685639,1.173861075,0.999997602454,2.3975458932e-06,3.34243399955e-05,0.429790659469,1.83774662223,gilt;gold,gilt;complex;people
identical,36,pun,-21.2378023375,-21.2378023375,16.509669411,2.408764856,0.999997687801,2.31219874601e-06,3.2318319792e-05,0.128129432295,1.54312528272,heir;human,heir;human
identical,37,pun,-42.9548551297,-42.9548551297,16.303440685,-0.58751717,0.999999903714,9.62861954123e-08,1.65188027119e-06,0.720367360948,2.19964490249,son;boy;only,son
identical,38,pun,-106.046097672,-106.046097672,11.322607382,1.587240256,0.999983993892,1.60061077723e-05,0.00019275406776,1.23452763375,2.5317438944,c's,c's;high;pirates;terrible
identical,39,pun,-72.3417142683,-72.3417142683,18.046668028,1.936027218,0.999989848925,1.0151074577e-05,0.000126867377999,2.11423465522,3.54148864832,watt;bright;electrician;spark,watt;knows;what's
identical,40,pun,-72.1546994919,-72.1546994919,14.032036698,-0.007007499,0.999999801466,1.98533611049e-07,3.26236531149e-06,0.960033717122,2.40795371013,razor;slash,razor;fund
identical,41,pun,-60.6423811692,-60.6423811692,20.257749724,-0.590474193,0.999999219708,7.80291647548e-07,1.17539994595e-05,1.80102378773,3.51445942236,knot;boyscouts;ropes;tie,knot
identical,42,pun,-36.6511539828,-36.6511539828,16.685283586,1.973049996,0.999995433054,4.56694611093e-06,6.07251458425e-05,1.01382396297,2.65000141232,wood;trees,wood;ask;ask
identical,43,pun,-96.6651406893,-96.6651406893,15.732978703,1.690605574,0.999999811563,1.88436931779e-07,3.10628904879e-06,1.53848782117,2.90204486433,grader;cheese;person;school,grader;cheddar;cheese;colby
