punType,sentenceID,sentenceType,sum_m1_ngram,sum_m2_ngram,sum_m1_relatedness,sum_m2_relatedness,p_m1_given_w,p_m2_given_w,entropy,m1KL,m2KL,m1Focus,m2Focus
near,1,pun,-55.535657869,-46.7526460314,13.997211058,-1.861346626,0.983479315036,0.0165206849636,0.0841701778243,1.30120505999,7.97901283407,lion;circus,driver
near,2,pun,-43.5410914618,-36.8942318182,16.643796321,0.558428204,0.999011410393,0.000988589606907,0.00782838091249,1.64181485756,8.3343891896,tooth;dentist;patient,tell;whole
near,3,pun,-78.3249571638,-79.1621982368,11.965244351,-2.656443979,0.999999924784,7.52158664078e-08,1.30897447239e-06,1.29090231615,7.88693996802,cilia,ridiculous
near,4,pun,-85.3526797864,-85.6582823787,17.587943037,-2.132293265,0.999999971543,2.84567528921e-08,5.22889429044e-07,1.78622309838,8.47526163586,heir;man;money;inherited;late;father,man;extension
near,5,pun,-62.2048857285,-46.6540736469,18.720599158,0.194343063,0.941355715064,0.0586442849362,0.223220814416,2.10968778888,8.76929126129,clothing;men's;wear;store,opening;times
near,6,pun,-67.3217083465,-51.2525975577,12.620862496,-0.372967689,0.000340961376038,0.999659038624,0.00306305068004,1.3506820023,7.9672961209,ambiance,paramedic;job;driver
near,7,pun,-65.0353676439,-57.4291345261,15.595708886,-0.001859578,0.965466331218,0.0345336687815,0.150164527773,1.67832931182,8.29150844425,perches;pet;bird,store;necessary
near,8,pun,-29.6112328967,-17.6183908144,15.928209202,-0.787863724,0.104610017646,0.895389982354,0.33509572539,0.755318501281,7.3660056896,reword,
near,9,pun,-95.8203122502,-89.517292391,14.773158733,-2.986738582,0.997678574943,0.00232142505708,0.0163995040086,1.6373020165,8.40660127652,math;algebra;class,weapon;disruption
near,10,pun,-80.989736925,-82.6614787208,16.102587659,-0.953130433,0.999999999763,2.37387318857e-10,5.49820558054e-09,0.915721517634,7.55879166845,stealer;thief;stole,thief;stole
near,11,pun,-81.616577985,-72.6961657843,10.165153756,-3.676340707,0.965028173526,0.0349718264743,0.151621021897,1.67321729206,8.36055656728,wicker;basket,pranked;hit;humor
near,12,pun,-40.3799605994,-35.1067942125,15.081307459,0.478434478,0.998416227135,0.00158377286501,0.0117945989766,0.88443796298,7.4968528507,spatial,lovable
