"","uniquePairID","N","relatedness","sd","se","ci"
"935",935,18,-0.480278263277778,0.605080062426081,0.142618738434087,0.300899236039172
"936",936,22,-0.834120548681818,0.27807981521516,0.0592868158079079,0.123293682963945
"937",937,16,-0.5687118966875,0.495804377080602,0.12395109427015,0.264195503553749
"938",938,21,-0.111298652142857,0.775918055874625,0.169319201148974,0.353193664517015
"939",939,21,-0.0449663707619048,0.780787911239123,0.170381890712369,0.355410396102049
"940",940,17,1.15987514982353,0.690678680672577,0.167514185516193,0.35511420957051
"941",941,22,-0.617809812818182,0.530698222512595,0.113145241208334,0.235298410081905
"942",942,16,-0.6500184310625,0.431917464419003,0.107979366104751,0.230152570813804
"943",943,21,1.19592120047619,0.731249288390101,0.159571676949059,0.332860685334653
"944",944,21,-0.590444420476191,0.308766422382175,0.0673783572679535,0.140548790397771
"945",945,17,1.63318400241176,0.386983666875729,0.093857325524557,0.198968641750243
"946",946,22,1.6121790285,0.613402901231882,0.130777937957247,0.271967610360828
"947",947,16,-0.61161868275,0.34312415068249,0.0857810376706224,0.182837953760694
"948",948,21,-0.721792246952381,0.301061885595071,0.065697089505026,0.137041727299238
"949",949,21,-0.671420259238095,0.408711567413454,0.0891881759560094,0.186043274972552
"950",950,17,0.208366563823529,0.732057681013036,0.177550067227145,0.376389328391915
"951",951,14,1.27752717007143,0.651573621635496,0.174140375315679,0.376207408656659
"952",952,26,1.92060716580769,0.632246789092509,0.123993796730349,0.25537000466841
"953",953,24,-0.457721811,0.597141217344796,0.121890940573262,0.252150621858013
"954",954,15,1.59998688666667,1.04791956232106,0.270571667535628,0.580318510658136
"955",955,18,-0.750032000111111,0.192756989890021,0.0454332582241135,0.0958557959529584
"956",956,14,1.32139357085714,0.940528592347106,0.251366839644832,0.543045041642803
"957",957,26,1.79124009015385,0.680829661380752,0.133521681877432,0.274993051455032
"958",958,24,-0.569010045041667,0.593838552604523,0.121216786956166,0.250756028847417
"959",959,15,1.0291092098,0.908615772597312,0.234603583691385,0.503174643239093
"960",960,18,0.669217970722222,0.755478006737004,0.178067873867011,0.375690374196277
"961",961,14,-0.639585539571429,0.50697493021597,0.135494749467985,0.292718609865913
"962",962,26,-0.654493270846154,0.352167018279215,0.0690656345480578,0.142243337022095
"963",963,24,-0.69704955975,0.292569462993969,0.0597204915546091,0.123541249352409
"964",964,15,-0.311913494733333,0.719536772705468,0.185783595844807,0.398466183201444
"965",965,18,-0.750032000111111,0.192756989890021,0.0454332582241135,0.0958557959529584
"966",966,22,-0.808464663772727,0.433313573597229,0.0923827642975388,0.192120475647376
"967",967,16,-0.60221774225,0.462106037768719,0.11552650944218,0.246238926050641
"968",968,21,-0.773342723666667,0.260232572711628,0.056787402987816,0.118456446897741
"969",969,21,-0.565610686714286,0.59364453534653,0.129543858053446,0.270223752717286
"970",970,17,0.249689963117647,0.866190725151619,0.210082108925322,0.445354175982368
"971",971,22,-0.695983250272727,0.478025747552256,0.101915431814567,0.211944742992974
"972",972,16,-0.4955487856875,0.519080415830714,0.129770103957678,0.276598429107838
"973",973,21,-0.80857734747619,0.347185788180564,0.0757621502166829,0.158037076038266
"974",974,21,-0.825991955095238,0.353541205952374,0.0771490160744155,0.160930027523757
"975",975,17,-0.667509974647059,0.509984998280767,0.123689530317179,0.262210090777576
"976",976,22,-0.499064814590909,0.634197676288814,0.135211398895839,0.281187497108783
"977",977,16,-0.4594846355,0.591561871764258,0.147890467941065,0.315221070685605
"978",978,21,-0.184861844142857,0.586762298098844,0.128042030761152,0.267090995881455
"979",979,21,-0.208917872714286,0.636529132666955,0.138902044404329,0.28974458737793
"980",980,17,1.72792258094118,1.500096617814,0.363826870816407,0.771278511442788
"981",981,14,-0.109023983071429,0.775268831413664,0.20719931069961,0.447626896476132
"982",982,26,-0.610927675346154,0.430681296082913,0.0844635512640848,0.173955940130837
"983",983,24,-0.304511823791667,0.724112551712556,0.147808855670038,0.305765914169155
"984",984,15,-0.207024674866667,0.624362636413872,0.161209739521672,0.345760503288779
"985",985,18,0.810271506388889,0.959899045745295,0.226250374833665,0.477346565314693
"986",986,14,-0.820700698785714,0.402548294679268,0.10758555716571,0.232424465588885
"987",987,26,-0.369067513846154,0.540572023271919,0.106014895967917,0.218341765412056
"988",988,24,-0.482292327375,0.589785096901455,0.120389378775541,0.249044404617645
"989",989,15,-0.335369812933333,0.616273456838279,0.159121122336289,0.341280864953412
"990",990,18,-0.634807827888889,0.34150061991945,0.0804924680414844,0.169824262972174
"991",991,14,-0.899042295857143,0.346965037942031,0.0927303069405785,0.2003316486186
"992",992,26,-0.628219203807692,0.364386811300477,0.0714621331275763,0.147179018238232
"993",993,24,-0.552589093458333,0.382673150947996,0.0781128298404695,0.161588699920855
"994",994,15,-0.503213354,0.576804403442578,0.148930256570147,0.319423631719835
"995",995,22,-0.528023149454545,0.633954386960569,0.135159529436775,0.281079628663596
"996",996,16,1.6861423229375,0.647143348462282,0.16178583711557,0.34483834899799
"997",997,21,-0.576139639285714,0.494201105058845,0.107843522498237,0.224957645955717
"998",998,21,-0.727307595809524,0.404910128516734,0.0883586339801062,0.184312880732845
"999",999,17,-0.729274221764706,0.500052126762789,0.121280455115161,0.257103079490594
"1000",1000,22,-0.00945829663636365,0.848048693142396,0.180804588882398,0.376003726230131
"1001",1001,16,-0.730890722125,0.264134718321391,0.0660336795803478,0.140747456333172
"1002",1002,21,-0.795271193380952,0.325030623456877,0.070927496912849,0.147952165966265
"1003",1003,21,-0.552618566190476,0.473899397847188,0.103413326782321,0.215716419628081
"1004",1004,17,1.76315492417647,0.409707639775024,0.0993686984949963,0.210652230516262
"1005",1005,22,1.30110591059091,0.622076409067051,0.132627136041021,0.275813228297489
"1006",1006,16,-0.706402673625,0.197719229709897,0.0494298074274741,0.105357140578397
"1007",1007,21,0.323571407666667,0.741056561968624,0.161711799498331,0.337324902745105
"1008",1008,21,-0.461981484619048,0.510915551883175,0.111490913820704,0.232565970932257
"1009",1009,18,1.27074332055556,0.380422522778795,0.0896664485243265,0.189179669905613
"1010",1010,14,0.739134619142857,0.747684042098829,0.199826965649434,0.431699913305105
"1011",1011,26,-0.391155438230769,0.641126206760982,0.125735193805768,0.258956479080887
"1012",1012,24,-0.671753276416667,0.218223380510374,0.0445446610163026,0.0921476520149112
